TransactionAmount,TransactionType,Location,IP Address,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Amount_Bin,Target
598.81,1,30,564,1,57.0,0,158.0,1.0,1415.52,230,2,0
841.28,1,40,12,2,26.0,3,80.0,1.0,1103.64,215,0,1
38.15,1,23,517,2,26.0,3,108.0,1.0,303.68,79,1,1
124.72,1,28,135,1,33.0,1,105.0,1.0,6309.8,62,1,0
302.45,0,35,310,1,78.0,2,40.0,1.0,5133.61,331,2,3
208.04,1,21,495,2,47.0,1,273.0,1.0,9344.98,142,1,3
5.77,0,20,548,1,23.0,3,254.0,1.0,1117.97,269,1,1
381.33,1,0,484,0,56.0,0,75.0,1.0,11835.35,189,2,2
16.16,1,25,179,0,50.0,0,124.0,1.0,14401.17,335,1,2
486.08,1,28,107,2,18.0,3,68.0,1.0,1748.69,40,2,1
336.39,1,35,310,1,21.0,3,18.0,1.0,1000.46,214,2,1
234.57,1,6,429,2,23.0,3,120.0,1.0,263.98,144,1,1
6.0,1,6,230,2,30.0,0,246.0,1.0,5442.76,200,1,0
227.14,1,5,284,0,18.0,3,294.0,1.0,341.94,310,1,1
45.85,1,20,187,0,20.0,3,92.0,1.0,1659.15,61,1,1
415.5,1,22,111,0,66.0,0,141.0,1.0,10113.66,240,2,2
265.76,1,30,378,2,54.0,2,92.0,1.0,4446.17,354,1,3
69.4,1,41,339,2,80.0,2,113.0,1.0,6452.77,161,1,3
332.93,0,0,42,1,35.0,1,293.0,1.0,2788.2,111,2,3
267.9,1,35,341,2,20.0,3,160.0,1.0,596.16,131,1,1
496.03,1,37,326,1,61.0,0,265.0,1.0,12904.66,198,2,2
376.26,1,40,541,0,37.0,1,245.0,1.0,9062.4,215,2,0
83.02,0,39,394,2,36.0,1,171.0,1.0,9009.56,277,1,3
93.26,0,27,234,2,20.0,3,72.0,1.0,1152.2,340,1,1
803.37,0,22,267,1,68.0,0,129.0,1.0,12168.37,137,0,3
35.76,1,5,37,1,23.0,3,122.0,1.0,611.86,316,1,1
28.53,1,42,338,2,62.0,0,99.0,1.0,8670.53,7,1,2
139.53,0,21,198,2,53.0,0,177.0,1.0,10098.86,68,1,3
307.57,1,11,78,1,33.0,0,285.0,1.0,5307.74,10,2,0
60.65,0,40,4,1,56.0,2,53.0,1.0,1047.28,179,1,3
74.86,1,26,178,1,70.0,0,125.0,1.0,6921.48,76,1,2
231.91,1,22,182,0,34.0,1,165.0,1.0,112.76,351,1,0
126.21,1,3,113,1,75.0,2,268.0,1.0,5669.66,139,1,0
506.28,0,6,31,2,53.0,2,162.0,2.0,1309.95,166,2,3
304.35,1,15,236,1,31.0,1,36.0,1.0,4057.1,142,2,0
281.85,1,11,348,0,22.0,3,109.0,1.0,1585.98,75,1,1
777.88,1,15,108,1,31.0,1,17.0,1.0,6825.55,172,0,0
119.18,1,20,503,1,56.0,2,96.0,1.0,5516.5,71,1,0
177.19,1,6,86,2,76.0,2,43.0,1.0,5343.3,7,1,3
260.88,1,10,241,1,22.0,3,36.0,1.0,903.05,29,1,1
169.47,1,6,69,2,24.0,3,19.0,1.0,1806.16,74,1,1
73.23,1,32,156,1,26.0,3,14.0,1.0,787.74,288,1,1
792.57,1,3,32,0,19.0,3,164.0,1.0,770.37,255,0,1
237.06,1,31,482,2,71.0,2,46.0,1.0,1182.77,87,1,3
34.17,0,30,225,2,54.0,1,54.0,1.0,726.55,6,1,3
740.25,1,30,0,2,41.0,0,123.0,1.0,14464.3,124,0,2
453.54,1,0,359,0,58.0,0,82.0,1.0,12046.3,342,2,2
300.47,1,17,158,1,73.0,2,100.0,1.0,7885.64,97,1,0
110.93,0,41,12,1,19.0,3,201.0,1.0,1952.35,269,1,1
201.69,1,19,270,0,59.0,0,299.0,1.0,7328.52,233,1,2
399.21,1,32,382,0,59.0,1,109.0,1.0,3210.39,118,2,0
630.36,1,23,300,0,62.0,2,52.0,1.0,1363.65,351,0,0
10.94,0,30,5,0,60.0,1,245.0,1.0,1241.99,329,1,3
215.9,1,20,132,0,38.0,0,235.0,1.0,7873.28,240,1,0
444.89,0,19,423,1,43.0,0,101.0,1.0,10328.23,326,2,3
280.57,0,41,210,2,25.0,3,24.0,1.0,293.24,241,1,1
3.3,0,20,58,1,50.0,0,131.0,1.0,11385.37,228,1,2
20.36,1,40,577,1,62.0,2,75.0,1.0,2762.48,291,1,0
493.11,1,7,395,1,53.0,2,236.0,1.0,7432.99,98,2,0
307.41,1,20,2,0,19.0,3,14.0,1.0,1057.0,205,2,1
11.18,1,1,171,2,43.0,0,161.0,1.0,5956.89,237,1,2
313.82,1,40,229,1,59.0,1,151.0,1.0,7261.59,139,2,2
288.04,1,10,314,0,68.0,2,63.0,1.0,1748.02,217,1,0
800.55,1,28,526,0,31.0,1,108.0,1.0,9660.22,26,0,0
485.54,1,15,111,0,46.0,1,143.0,1.0,6371.51,322,2,0
521.15,1,18,196,0,54.0,0,214.0,1.0,9442.47,68,2,2
304.93,1,32,322,0,65.0,0,158.0,1.0,13531.22,112,2,2
694.2,1,25,370,0,61.0,2,72.0,1.0,1389.37,60,0,0
116.86,1,21,237,0,55.0,1,171.0,1.0,6706.56,351,1,0
74.88,1,1,177,0,25.0,3,202.0,1.0,420.67,83,1,1
890.24,0,19,374,2,33.0,1,161.0,1.0,5140.93,69,0,3
361.27,1,29,520,0,63.0,0,180.0,1.0,7945.57,224,2,2
131.56,1,5,371,1,44.0,0,42.0,1.0,5873.54,49,1,0
485.51,0,25,562,2,76.0,2,37.0,1.0,3074.45,99,2,3
547.87,1,8,250,0,64.0,2,131.0,1.0,6155.76,248,2,0
457.3,1,41,485,2,28.0,1,15.0,1.0,8318.29,90,2,3
506.24,1,6,97,0,58.0,1,64.0,1.0,230.09,316,2,0
486.59,1,16,79,1,57.0,2,119.0,1.0,2513.56,219,2,0
163.68,1,36,397,1,41.0,0,292.0,1.0,10090.05,277,1,2
581.65,1,4,532,0,22.0,3,176.0,1.0,480.19,196,2,1
523.74,1,28,339,0,43.0,0,159.0,1.0,13498.55,29,2,2
705.6,1,31,313,1,40.0,0,124.0,3.0,14804.7,161,0,2
91.48,1,13,176,0,51.0,0,141.0,1.0,14942.78,174,1,2
5.25,1,38,571,0,39.0,0,49.0,1.0,14143.32,358,1,2
54.03,0,25,181,0,56.0,2,161.0,1.0,6736.3,73,1,3
736.73,1,22,23,1,48.0,1,10.0,1.0,3313.07,270,0,0
33.06,0,13,487,2,53.0,2,170.0,1.0,1540.87,20,1,3
66.5,0,21,84,2,32.0,1,144.0,1.0,6820.23,103,1,3
588.54,1,32,331,1,32.0,1,130.0,1.0,714.45,253,2,1
173.5,1,26,386,0,21.0,3,282.0,1.0,1306.91,328,1,1
78.33,0,22,548,2,56.0,1,189.0,1.0,7255.33,115,1,3
40.66,1,21,139,1,59.0,2,156.0,1.0,1153.84,304,1,0
97.22,0,1,250,1,77.0,2,55.0,1.0,6647.73,293,1,3
34.07,1,30,375,1,22.0,3,81.0,1.0,8709.77,58,1,1
492.06,1,14,478,2,23.0,3,74.0,1.0,857.9,213,2,1
842.01,0,41,483,2,53.0,0,185.0,1.0,509.45,130,0,3
73.55,1,1,282,0,51.0,1,158.0,1.0,2812.06,297,1,0
760.53,1,31,225,2,57.0,1,118.0,1.0,6179.91,192,0,3
371.69,1,37,74,1,67.0,2,143.0,1.0,3484.32,216,2,0
218.96,1,39,454,0,18.0,3,13.0,1.0,754.21,252,1,1
227.39,1,1,577,2,18.0,3,65.0,1.0,751.09,312,1,1
237.99,0,18,205,1,39.0,0,86.0,1.0,8510.09,312,1,3
341.15,1,38,476,2,18.0,3,148.0,1.0,511.37,226,2,1
434.58,1,22,532,0,59.0,0,215.0,1.0,12648.32,112,2,2
312.88,0,32,302,1,54.0,1,44.0,1.0,233.21,60,2,3
75.15,1,4,95,0,23.0,3,154.0,1.0,1092.92,276,1,1
23.3,1,20,36,0,59.0,1,161.0,1.0,6711.15,103,1,0
47.38,0,39,144,2,25.0,3,61.0,1.0,459.37,42,1,1
488.15,1,21,533,1,43.0,1,168.0,1.0,7071.09,289,2,0
12.82,1,13,149,0,44.0,1,156.0,1.0,9045.19,122,1,0
535.91,1,19,17,2,43.0,1,22.0,1.0,9642.12,265,2,3
270.72,0,42,369,2,26.0,1,53.0,1.0,6263.96,281,1,3
97.98,1,10,329,1,72.0,2,18.0,1.0,7460.33,140,1,0
196.08,1,37,291,2,61.0,2,98.0,1.0,4233.82,8,1,3
251.18,1,38,93,0,42.0,1,246.0,1.0,8303.9,92,1,0
44.52,1,12,556,2,28.0,3,205.0,1.0,314.28,245,1,1
178.87,1,3,94,2,35.0,0,180.0,1.0,5241.23,233,1,3
386.68,1,27,317,1,46.0,0,128.0,1.0,6863.06,5,2,2
167.14,1,10,77,2,76.0,2,20.0,1.0,3877.73,3,1,3
345.22,1,14,190,1,69.0,2,253.0,1.0,4046.58,73,2,0
74.85,1,33,266,0,72.0,2,117.0,1.0,2409.73,325,1,0
671.73,1,42,40,1,58.0,1,54.0,1.0,5211.88,340,0,0
255.04,1,39,583,0,45.0,1,152.0,1.0,6217.86,314,1,0
45.77,1,30,547,2,25.0,3,109.0,1.0,5978.12,98,1,1
329.69,0,35,130,2,26.0,3,66.0,1.0,1671.66,206,2,3
362.04,0,30,452,1,58.0,0,198.0,2.0,8421.88,144,2,3
47.42,1,36,418,0,64.0,0,28.0,1.0,8253.52,153,1,2
35.99,1,24,185,1,63.0,2,129.0,1.0,4489.79,174,1,0
151.19,0,27,343,1,37.0,0,96.0,1.0,11903.82,292,1,3
242.62,0,37,107,2,22.0,3,234.0,1.0,483.02,46,1,1
48.72,1,41,166,1,21.0,3,17.0,1.0,816.08,64,1,1
43.46,1,4,322,0,25.0,3,80.0,1.0,578.06,261,1,1
443.79,1,19,290,0,53.0,2,87.0,1.0,3133.85,292,2,0
365.14,1,9,218,2,68.0,2,57.0,1.0,5894.09,62,2,3
757.41,1,20,77,0,22.0,3,37.0,1.0,9532.42,160,0,0
20.54,1,13,213,1,51.0,1,72.0,1.0,5327.03,65,1,0
475.36,1,31,88,0,34.0,1,105.0,1.0,2000.6,36,2,0
34.74,1,37,541,0,56.0,2,24.0,1.0,6827.57,279,1,0
211.18,1,42,491,0,73.0,2,90.0,1.0,4069.17,326,1,0
211.36,0,13,487,1,51.0,1,286.0,1.0,7943.47,286,1,3
744.41,0,15,365,2,39.0,1,107.0,1.0,8842.47,303,0,3
61.43,1,31,110,2,24.0,3,170.0,1.0,1882.77,115,1,1
167.44,1,23,196,1,37.0,0,82.0,1.0,12526.71,265,1,2
361.46,1,26,214,2,21.0,3,83.0,1.0,4737.84,258,2,1
378.85,1,41,269,1,78.0,2,126.0,1.0,2300.53,164,2,0
241.11,1,8,279,1,30.0,0,55.0,1.0,12385.05,265,1,2
131.93,0,13,341,1,31.0,1,13.0,1.0,4547.06,27,1,3
485.54,1,21,71,2,19.0,3,148.0,1.0,1533.32,285,2,1
321.15,1,20,299,1,46.0,0,179.0,1.0,7005.05,10,2,2
711.3,1,38,27,1,21.0,3,51.0,1.0,955.4,189,0,1
12.23,1,15,362,0,42.0,1,139.0,1.0,7844.88,66,1,0
350.94,1,7,8,0,20.0,3,64.0,1.0,221.56,252,2,1
301.85,1,8,460,2,54.0,1,25.0,1.0,6586.19,222,2,3
29.34,1,21,414,2,65.0,2,30.0,1.0,3944.82,318,1,0
231.71,1,33,367,1,27.0,3,148.0,1.0,1127.98,39,1,1
179.43,1,28,255,0,58.0,2,244.0,1.0,2626.63,217,1,0
36.71,1,17,196,1,48.0,0,55.0,1.0,6459.38,320,1,2
138.12,0,20,429,1,53.0,0,281.0,1.0,1649.69,299,1,3
233.24,1,21,430,0,33.0,1,72.0,1.0,6939.23,76,1,0
436.64,1,20,406,1,31.0,0,111.0,1.0,14365.18,120,2,2
870.43,1,20,227,1,29.0,0,55.0,1.0,10115.18,89,0,2
354.4,1,6,552,0,74.0,2,128.0,1.0,7358.65,217,2,0
22.63,1,18,191,2,53.0,1,112.0,1.0,4438.03,272,1,3
182.19,1,23,162,1,26.0,3,53.0,1.0,1176.1,4,1,1
126.81,1,30,466,1,26.0,1,290.0,1.0,5427.98,358,1,0
288.17,1,41,120,2,37.0,1,50.0,1.0,3653.11,233,1,3
118.77,1,1,17,1,55.0,1,123.0,1.0,2104.82,246,1,0
651.82,1,16,104,0,21.0,3,166.0,1.0,1802.77,39,0,1
66.65,1,11,69,0,37.0,1,33.0,1.0,3559.96,276,1,0
98.53,1,10,61,1,69.0,2,166.0,1.0,3564.8,295,1,0
138.95,1,42,15,2,71.0,2,30.0,1.0,6752.92,134,1,3
33.89,1,26,109,1,26.0,3,177.0,1.0,1444.75,312,1,1
23.71,1,1,295,1,58.0,0,164.0,1.0,10788.89,173,1,2
26.06,1,36,111,0,65.0,0,283.0,1.0,12893.63,336,1,2
17.07,1,20,435,1,27.0,1,44.0,1.0,2798.15,301,1,0
703.89,1,35,436,2,46.0,1,62.0,1.0,3583.67,21,0,3
26.55,1,15,562,0,77.0,2,228.0,1.0,3085.38,60,1,0
147.4,1,38,564,1,42.0,1,259.0,1.0,6797.71,55,1,0
202.11,1,22,473,0,27.0,3,18.0,1.0,746.47,218,1,1
308.42,1,26,514,1,75.0,2,39.0,1.0,5427.81,11,2,0
11.18,1,24,224,0,53.0,1,144.0,1.0,7467.3,273,1,0
294.15,1,14,41,2,38.0,1,136.0,1.0,6362.16,57,1,3
139.45,1,4,518,2,27.0,3,31.0,1.0,1305.76,225,1,1
432.63,1,7,56,0,29.0,0,137.0,1.0,13648.36,241,2,2
131.43,1,5,518,2,43.0,0,65.0,1.0,1337.5,348,1,0
516.72,1,23,285,0,42.0,1,128.0,1.0,2015.69,311,2,0
374.5,0,37,559,1,26.0,3,178.0,1.0,1671.51,134,2,1
166.13,1,29,375,0,68.0,0,227.0,1.0,11822.53,344,1,2
626.9,1,6,469,0,23.0,3,146.0,1.0,587.11,306,0,1
466.85,1,2,97,1,56.0,2,165.0,1.0,5422.53,192,2,0
788.84,1,31,410,2,58.0,2,231.0,1.0,1913.73,199,0,3
525.28,1,7,506,0,69.0,2,134.0,1.0,4693.6,196,2,0
632.69,1,10,331,0,80.0,2,76.0,1.0,4363.74,183,0,0
124.35,1,28,442,0,72.0,2,90.0,1.0,3319.76,311,1,0
43.85,1,14,59,0,62.0,2,122.0,1.0,4356.98,55,1,0
283.81,1,36,490,1,28.0,3,29.0,1.0,1519.35,262,1,1
168.53,1,37,163,0,71.0,2,112.0,1.0,5962.58,345,1,0
218.59,0,10,509,1,40.0,1,123.0,1.0,6699.23,49,1,3
132.84,1,28,131,0,21.0,3,143.0,1.0,822.73,137,1,1
157.37,0,9,497,1,42.0,0,289.0,1.0,13964.31,247,1,2
144.77,1,0,465,2,20.0,3,159.0,1.0,867.32,270,1,1
643.22,1,1,221,0,64.0,0,93.0,1.0,1035.86,83,0,0
208.07,1,28,163,2,32.0,0,36.0,1.0,8478.9,319,1,3
295.5,1,23,102,0,59.0,2,36.0,1.0,6280.66,45,1,0
30.23,1,2,94,0,44.0,0,99.0,1.0,481.13,342,1,0
180.24,1,31,206,1,58.0,1,144.0,1.0,8431.23,174,1,2
13.71,0,10,256,2,38.0,1,148.0,1.0,8342.79,293,1,3
96.54,1,27,501,1,58.0,2,95.0,1.0,7182.22,248,1,0
101.04,1,35,120,0,27.0,3,160.0,1.0,1695.57,20,1,1
39.66,1,41,298,1,52.0,1,169.0,1.0,8497.34,57,1,0
99.36,1,39,568,0,40.0,0,46.0,1.0,1272.12,172,1,0
123.85,1,19,18,2,56.0,1,244.0,1.0,3959.62,13,1,3
426.93,1,29,380,0,19.0,3,248.0,1.0,476.19,169,2,1
133.73,0,38,544,2,25.0,3,123.0,1.0,1872.22,179,1,1
222.39,1,41,232,2,49.0,1,73.0,1.0,3117.39,268,1,3
215.94,0,41,457,2,22.0,3,140.0,1.0,1841.69,261,1,1
6.3,1,8,326,1,80.0,2,283.0,5.0,7697.68,349,1,2
131.46,1,5,130,1,67.0,2,258.0,1.0,6642.33,306,1,0
202.86,0,22,570,1,61.0,0,149.0,1.0,7642.25,151,1,3
268.39,1,24,494,0,26.0,3,171.0,1.0,136.74,17,1,1
194.85,1,17,138,2,23.0,3,130.0,4.0,319.84,98,1,1
353.82,1,25,508,0,42.0,0,143.0,1.0,705.75,17,2,0
364.42,1,7,70,0,51.0,1,146.0,1.0,8119.73,173,2,0
195.12,1,21,292,0,46.0,0,144.0,1.0,6101.15,256,1,0
230.61,1,33,581,1,80.0,2,204.0,1.0,2561.42,203,1,0
739.28,0,40,296,1,58.0,0,47.0,1.0,11905.64,289,0,3
390.35,0,29,12,0,64.0,0,61.0,1.0,7095.88,218,2,2
242.03,1,9,351,2,58.0,1,124.0,1.0,4382.73,49,1,3
242.39,0,35,367,0,18.0,3,271.0,1.0,1328.73,25,1,1
135.03,1,37,513,0,23.0,3,180.0,1.0,1278.0,115,1,1
193.54,1,28,283,1,80.0,2,267.0,1.0,2929.51,123,1,0
775.23,0,0,39,2,59.0,0,38.0,1.0,5977.59,38,0,3
266.57,1,12,562,0,72.0,2,100.0,1.0,7676.92,174,1,0
153.4,1,23,186,0,45.0,1,144.0,1.0,4657.7,105,1,0
5.12,1,27,250,1,34.0,1,90.0,1.0,3293.01,248,1,0
119.11,1,11,297,0,57.0,1,131.0,1.0,7998.25,205,1,0
119.72,1,40,134,1,30.0,1,123.0,1.0,3435.34,237,1,0
107.4,1,41,130,2,58.0,0,32.0,1.0,344.07,100,1,3
115.92,1,33,312,0,53.0,2,57.0,1.0,3897.17,159,1,0
438.04,1,30,532,0,67.0,2,247.0,1.0,5358.95,10,2,0
677.29,1,15,440,2,27.0,1,287.0,1.0,627.79,53,0,1
296.0,1,19,389,1,35.0,0,248.0,1.0,7418.82,31,1,0
299.09,0,4,42,1,36.0,1,84.0,1.0,5615.26,98,1,3
461.52,0,10,470,1,24.0,3,44.0,1.0,1995.18,150,2,1
100.52,1,19,42,0,50.0,1,110.0,1.0,453.39,304,1,0
85.35,1,42,10,0,66.0,2,166.0,1.0,2173.76,2,1,0
79.76,1,33,162,1,39.0,1,170.0,1.0,6452.14,191,1,0
778.49,0,29,182,2,75.0,2,107.0,1.0,7713.67,178,0,3
386.38,1,31,308,2,42.0,1,135.0,1.0,5528.36,223,2,3
14.29,1,20,560,0,34.0,1,150.0,1.0,7016.99,149,1,0
232.79,0,16,475,1,55.0,2,145.0,1.0,2661.3,316,1,3
293.97,1,31,463,1,68.0,2,153.0,1.0,7371.85,154,1,0
136.32,1,24,343,2,19.0,3,113.0,1.0,264.83,181,1,1
251.06,1,7,281,2,36.0,0,34.0,1.0,10001.66,230,1,2
50.17,0,34,366,0,77.0,2,35.0,1.0,7752.14,275,1,3
21.4,1,14,288,1,34.0,1,258.0,1.0,9594.11,316,1,0
73.28,1,4,316,1,21.0,3,21.0,1.0,1329.41,273,1,1
70.23,1,22,128,0,38.0,0,260.0,1.0,11624.93,53,1,2
689.29,1,12,195,0,22.0,3,100.0,1.0,168.84,86,0,1
745.03,1,13,383,2,28.0,3,231.0,1.0,160.57,172,0,1
54.61,1,25,408,0,58.0,1,160.0,1.0,7135.64,56,1,0
54.05,1,21,198,1,27.0,3,146.0,1.0,469.14,310,1,1
107.47,1,2,473,2,67.0,2,144.0,1.0,7517.5,345,1,0
611.11,1,11,115,0,20.0,3,282.0,4.0,919.84,288,0,1
219.63,1,5,128,0,48.0,0,44.0,1.0,8013.63,66,1,2
93.52,1,30,263,2,51.0,1,97.0,1.0,2791.2,101,1,3
275.92,0,26,38,1,62.0,2,107.0,1.0,1777.38,76,1,3
376.79,1,25,120,1,68.0,2,265.0,1.0,7749.14,141,2,0
697.32,1,1,188,2,68.0,2,91.0,1.0,2016.02,294,0,3
302.16,1,18,545,2,80.0,2,138.0,5.0,3876.61,75,2,3
442.74,1,36,116,1,23.0,3,136.0,1.0,1790.27,202,2,1
